#chan	code	gain	vt50	innse	comment
   0	 80000	63.6	84.0	2488	very high noise
   1	 80000	61.6	91.0	2517	very high noise
   2	 80000	61.0	88.9	2523	very high noise
   3	 80000	60.4	94.8	2558	very high noise
   4	 80000	57.0	82.4	2532	very high noise
   5	 80000	59.6	92.7	2505	very high noise
   6	 80000	56.7	82.3	2542	very high noise
   7	 80000	59.6	89.5	2529	very high noise
   8	 80000	57.7	81.5	2479	very high noise
   9	 80000	57.9	87.1	2467	very high noise
  10	 80000	58.6	85.4	2502	very high noise
  11	 80000	57.1	85.4	2502	very high noise
  12	 80000	57.3	84.9	2479	very high noise
  13	 80000	59.1	84.8	2529	very high noise
  14	 80000	58.8	92.4	2516	very high noise
  15	 80000	57.1	81.2	2513	very high noise
  16	 80000	56.9	88.7	2534	very high noise
  17	 80000	56.7	87.4	2560	very high noise
  18	 80000	58.2	84.7	2524	very high noise
  19	 80000	56.3	87.4	2518	very high noise
  20	 80000	56.5	89.8	2511	very high noise
  21	 80000	58.5	88.8	2502	very high noise
  22	 80000	56.7	87.4	2494	very high noise
  23	 80000	56.6	84.9	2532	very high noise
  24	 80000	58.7	89.2	2504	very high noise
  25	 80000	55.6	82.7	2498	very high noise
  26	 80000	58.4	88.3	2498	very high noise
  27	 80000	58.6	87.1	2493	very high noise
  28	 80000	56.8	84.0	2487	very high noise
  29	 80000	59.1	88.2	2513	very high noise
  30	 80000	58.1	83.1	2529	very high noise
  31	 80000	57.0	86.8	2549	very high noise
  32	 80000	56.2	89.9	2502	very high noise
  33	 80000	58.1	86.0	2513	very high noise
  34	 80000	57.4	84.1	2512	very high noise
  35	 80000	59.1	87.8	2475	very high noise
  36	 80000	57.1	83.5	2499	very high noise
  37	 80000	57.4	84.9	2488	very high noise
  38	 80000	58.6	90.9	2527	very high noise
  39	 80000	59.0	83.2	2504	very high noise
  40	 80000	56.5	83.0	2478	very high noise
  41	 80000	59.7	84.6	2542	very high noise
  42	 80000	56.0	82.3	2533	very high noise
  43	 80000	59.1	86.6	2565	very high noise
  44	 80000	58.7	84.4	2519	very high noise
  45	 80000	59.4	92.4	2527	very high noise
  46	 80000	57.3	84.3	2522	very high noise
  47	 80000	57.4	90.5	2540	very high noise
  48	 80000	56.7	80.6	2519	very high noise
  49	 80000	56.6	86.8	2509	very high noise
  50	 80000	56.9	86.7	2594	very high noise
  51	 80000	58.5	86.2	2573	very high noise
  52	 80000	57.6	83.8	2536	very high noise
  53	 80000	58.8	90.1	2532	very high noise
  54	 80000	59.6	85.1	2533	very high noise
  55	 80000	57.4	90.5	2514	very high noise
  56	 80000	57.6	85.8	2544	very high noise
  57	 80000	58.6	89.3	2526	very high noise
  58	 80000	56.6	84.7	2549	very high noise
  59	 80000	58.5	90.7	2531	very high noise
  60	 80000	59.8	83.3	2559	very high noise
  61	 80000	59.4	84.9	2577	very high noise
  62	 80000	61.7	93.1	2543	very high noise
  63	 80000	60.3	91.4	2565	very high noise
  64	 80000	57.3	83.2	2511	very high noise
  65	 80000	56.6	85.3	2560	very high noise
  66	 80000	57.0	85.1	2546	very high noise
  67	 80000	58.1	91.9	2545	very high noise
  68	 80000	56.8	82.2	2559	very high noise
  69	 80000	57.4	83.8	2580	very high noise
  70	 80000	56.2	89.6	2571	very high noise
  71	 80000	59.4	86.7	2580	very high noise
  72	 80000	56.6	92.2	2613	very high noise
  73	 80000	55.5	83.7	2544	very high noise
  74	 80000	55.8	74.1	2587	very high noise
  75	 80000	55.3	85.9	2549	very high noise
  76	 80000	58.8	96.5	2573	very high noise
  77	 80000	58.1	84.5	2600	very high noise
  78	 80000	56.4	81.3	2576	very high noise
  79	 80000	54.7	82.2	2592	very high noise
  80	 80000	57.6	74.9	2594	very high noise
  81	 80000	54.3	84.4	2616	very high noise
  82	 80000	57.8	86.3	2600	very high noise
  83	 80000	56.7	80.8	2612	very high noise
  84	 80000	54.6	83.5	2559	very high noise
  85	 80000	56.5	83.8	2597	very high noise
  86	 80000	55.6	102.5	2589	very high noise
  87	 80000	57.5	90.3	2583	very high noise
  88	 80000	55.9	80.6	2588	very high noise
  89	 80000	56.7	87.2	2592	very high noise
  90	 80000	55.7	82.4	2609	very high noise
  91	 80000	57.4	83.2	2591	very high noise
  92	 80000	53.8	86.7	2585	very high noise
  93	 80000	55.9	83.4	2571	very high noise
  94	 80000	58.6	120.7	2434	very high noise
  95	 80000	55.8	80.7	2650	very high noise
  96	 80000	56.7	83.7	2565	very high noise
  97	 80000	59.8	60.6	2395	very high noise
  98	 80000	56.7	85.0	2592	very high noise
  99	 80000	56.1	80.7	2599	very high noise
 100	 80000	57.0	82.0	2574	very high noise
 101	 80000	56.9	81.2	2601	very high noise
 102	 80000	56.9	89.2	2541	very high noise
 103	 80000	57.5	84.7	2624	very high noise
 104	 80000	56.5	83.5	2625	very high noise
 105	 80000	55.4	82.3	2601	very high noise
 106	 80000	55.1	82.4	2562	very high noise
 107	 80000	55.6	83.2	2600	very high noise
