#chan	code	gain	vt50	innse	comment
   0	 80000	51.4	68.2	2291	very high noise
   1	 80000	56.6	84.7	2288	very high noise
   2	 80000	57.8	86.7	2300	very high noise
   3	 80000	55.6	82.6	2284	very high noise
   4	 80000	53.9	82.3	2257	very high noise
   5	 80000	53.0	79.9	2283	very high noise
   6	 80000	52.7	79.1	2325	very high noise
   7	 80000	53.9	80.8	2305	very high noise
   8	 80000	52.7	80.9	2302	very high noise
   9	 80000	54.1	80.9	2249	very high noise
  10	 80000	55.4	83.7	2308	very high noise
  11	 80000	55.1	88.4	2304	very high noise
  12	 80000	53.5	80.8	2266	very high noise
  13	 80000	54.6	81.1	2305	very high noise
  14	 80000	53.7	82.2	2288	very high noise
  15	 80000	53.3	82.7	2318	very high noise
  16	 80000	46.1	63.5	2385	very high noise
  17	 80000	54.2	82.3	2309	very high noise
  18	 80000	53.5	82.3	2279	very high noise
  19	 80000	55.1	84.4	2264	very high noise
  20	 80000	53.8	78.0	2279	very high noise
  21	 80000	51.9	79.7	2301	very high noise
  22	 80000	56.0	87.1	2303	very high noise
  23	 80000	53.2	76.5	2274	very high noise
  24	 80000	51.2	76.4	2290	very high noise
  25	 80000	53.3	79.5	2301	very high noise
  26	 80000	52.6	81.9	2300	very high noise
  27	 80000	54.0	80.4	2291	very high noise
  28	 80000	53.1	81.9	2279	very high noise
  29	 80000	53.9	85.5	2333	very high noise
  30	 80000	52.4	77.7	2266	very high noise
  31	 80000	54.4	80.6	2293	very high noise
  32	 80000	54.6	84.2	2315	very high noise
  33	 80000	52.0	79.8	2339	very high noise
  34	 80000	52.7	82.4	2316	very high noise
  35	 80000	53.7	82.2	2316	very high noise
  36	 80000	54.9	85.7	2299	very high noise
  37	 80000	55.5	88.9	2305	very high noise
  38	 80000	55.3	82.9	2287	very high noise
  39	 80000	55.2	84.2	2320	very high noise
  40	 80000	54.5	83.2	2294	very high noise
  41	 80000	52.4	79.9	2292	very high noise
  42	 80000	54.9	83.8	2275	very high noise
  43	 80000	51.5	74.5	2351	very high noise
  44	 80000	55.6	83.2	2285	very high noise
  45	 80000	55.3	81.9	2297	very high noise
  46	 80000	53.4	80.1	2318	very high noise
  47	 80000	53.6	87.1	2321	very high noise
  48	 80000	54.8	81.7	2275	very high noise
  49	 80000	55.7	84.3	2284	very high noise
  50	 80000	55.1	81.4	2273	very high noise
  51	 80000	55.8	87.2	2308	very high noise
  52	 80000	53.9	81.0	2254	very high noise
  53	 80000	52.5	78.9	2299	very high noise
  54	 80000	56.6	88.7	2322	very high noise
  55	 80000	53.2	82.5	2327	very high noise
  56	 80000	54.1	83.4	2297	very high noise
  57	 80000	52.4	78.2	2286	very high noise
  58	 80000	57.0	85.7	2269	very high noise
  59	 80000	54.1	80.4	2279	very high noise
  60	 80000	55.9	85.9	2305	very high noise
  61	 80000	56.7	89.5	2337	very high noise
  62	 80000	56.3	83.8	2296	very high noise
  63	 80000	57.1	80.9	2250	very high noise
  64	 80000	56.0	87.3	2301	very high noise
  65	 80000	56.3	83.9	2271	very high noise
  66	 80000	54.4	83.8	2311	very high noise
  67	 80000	53.0	85.2	2326	very high noise
  68	 80000	52.9	77.7	2299	very high noise
  69	 80000	52.5	83.5	2336	very high noise
  70	 80000	52.5	82.5	2296	very high noise
  71	 80000	52.3	81.2	2326	very high noise
  72	 80000	52.1	79.6	2310	very high noise
  73	 80000	56.3	89.1	2315	very high noise
  74	 80000	54.6	83.6	2295	very high noise
  75	 80000	55.6	86.3	2302	very high noise
  76	 80000	55.4	86.9	2277	very high noise
  77	 80000	54.8	85.0	2301	very high noise
  78	 80000	54.3	81.9	2311	very high noise
  79	 80000	52.2	78.5	2295	very high noise
  80	 80000	52.6	81.9	2309	very high noise
  81	 80000	53.7	80.1	2285	very high noise
  82	 80000	53.5	83.8	2317	very high noise
  83	 80000	55.0	84.8	2314	very high noise
  84	 80000	55.4	84.1	2228	very high noise
  85	 80000	52.8	82.1	2302	very high noise
  86	 80000	56.5	85.6	2288	very high noise
  87	 80000	52.5	80.1	2273	very high noise
  88	 80000	52.9	81.1	2292	very high noise
  89	 80000	54.1	82.8	2310	very high noise
  90	 80000	56.7	92.7	2288	very high noise
  91	 80000	53.6	79.2	2269	very high noise
  92	 80000	52.8	78.4	2317	very high noise
  93	 80000	54.4	80.6	2242	very high noise
  94	 80000	54.5	85.0	2331	very high noise
  95	 80000	54.4	82.2	2318	very high noise
  96	 80000	54.7	86.0	2300	very high noise
  97	 80000	51.7	77.5	2284	very high noise
  98	 80000	54.3	85.3	2291	very high noise
  99	 80000	54.1	81.3	2240	very high noise
 100	 80000	53.9	81.7	2293	very high noise
 101	 80000	52.8	85.0	2363	very high noise
 102	 80000	50.9	79.1	2273	very high noise
 103	 80000	54.4	81.1	2304	very high noise
 104	     0	54.3	119.1	1865	OK
 105	 80000	52.4	80.2	2262	very high noise
 106	 80000	53.6	81.2	2306	very high noise
 107	 80000	54.8	82.9	2288	very high noise
 108	 80000	54.1	81.0	2325	very high noise
 109	 80000	55.2	83.3	2279	very high noise
 110	 80000	51.3	81.2	2294	very high noise
 111	 80000	56.1	93.7	2259	very high noise
 112	 80000	55.6	85.6	2286	very high noise
 113	 80000	53.3	85.9	2316	very high noise
 114	 80000	54.1	82.7	2324	very high noise
 115	 80000	53.1	79.0	2282	very high noise
 116	 80000	52.8	82.4	2322	very high noise
 117	 80000	52.2	79.1	2293	very high noise
 118	 80000	53.7	83.9	2332	very high noise
 119	 80000	51.8	81.4	2285	very high noise
 120	 80000	55.2	86.5	2295	very high noise
 121	 80000	53.4	83.7	2318	very high noise
 122	 80000	54.5	81.2	2300	very high noise
 123	 80000	53.7	83.7	2301	very high noise
 124	 80000	54.2	87.2	2350	very high noise
 125	 80000	54.8	82.0	2349	very high noise
 126	 80000	53.4	79.3	2339	very high noise
 127	 80000	55.2	82.2	2376	very high noise
 128	 80000	59.1	88.1	2225	very high noise
 129	 80000	59.8	85.2	2199	very high noise
 130	 80000	58.9	88.3	2178	very high noise
 131	 80000	58.9	85.0	2241	very high noise
 132	 80000	57.0	81.9	2222	very high noise
 133	 80000	59.3	103.9	2042	very high noise
 134	 80000	56.4	89.5	2198	very high noise
 135	 80000	58.1	86.3	2196	very high noise
 136	 80000	57.8	88.8	2231	very high noise
 137	 80000	56.2	81.3	2178	very high noise
 138	 80000	55.5	81.6	2214	very high noise
 139	 80000	56.8	83.7	2212	very high noise
 140	 80000	56.9	86.1	2210	very high noise
 141	 80000	56.3	85.3	2249	very high noise
 142	 80000	57.5	87.6	2215	very high noise
 143	 80000	56.3	84.3	2229	very high noise
 144	 80000	57.5	89.0	2213	very high noise
 145	 80000	56.4	83.2	2230	very high noise
 146	 80000	55.8	84.7	2245	very high noise
 147	 80000	56.6	82.1	2236	very high noise
 148	 80000	55.6	83.9	2222	very high noise
 149	 80000	55.7	87.5	2264	very high noise
 150	 80000	57.5	85.4	2228	very high noise
 151	 80000	56.8	82.2	2207	very high noise
 152	 80000	56.4	84.5	2224	very high noise
 153	 80000	57.1	81.5	2219	very high noise
 154	 80000	58.4	83.7	2190	very high noise
 155	 80000	55.2	81.8	2254	very high noise
 156	 80000	56.5	81.8	2214	very high noise
 157	 80000	55.1	82.0	2245	very high noise
 158	 80000	56.7	87.5	2228	very high noise
 159	 80000	58.5	105.6	2014	very high noise
 160	 80000	55.3	84.7	2236	very high noise
 161	 80000	57.3	85.4	2231	very high noise
 162	 80000	57.9	88.6	2236	very high noise
 163	 80000	57.6	83.6	2218	very high noise
 164	 80000	54.0	79.8	2237	very high noise
 165	 80000	57.0	80.9	2206	very high noise
 166	 80000	56.2	86.5	2200	very high noise
 167	 80000	56.6	82.0	2236	very high noise
 168	 80000	56.4	83.0	2229	very high noise
 169	 80000	56.8	87.9	2242	very high noise
 170	 80000	56.0	84.2	2216	very high noise
 171	 80000	57.2	85.1	2234	very high noise
 172	 80000	56.0	80.8	2241	very high noise
 173	 80000	55.8	84.1	2262	very high noise
 174	 80000	56.5	86.0	2241	very high noise
 175	 80000	55.1	79.6	2233	very high noise
 176	 80000	57.2	86.8	2233	very high noise
 177	 80000	58.2	83.7	2205	very high noise
 178	 80000	57.1	84.9	2244	very high noise
 179	 80000	59.5	86.9	2201	very high noise
 180	 80000	57.2	82.7	2222	very high noise
 181	 80000	56.0	81.0	2245	very high noise
 182	 80000	57.9	89.1	2240	very high noise
 183	 80000	60.3	90.6	2191	very high noise
 184	 80000	57.3	82.4	2216	very high noise
 185	 80000	57.7	88.6	2254	very high noise
 186	 80000	58.3	86.3	2189	very high noise
 187	 80000	57.0	84.7	2235	very high noise
 188	 80000	58.5	86.6	2259	very high noise
 189	 80000	58.6	86.5	2238	very high noise
 190	 80000	61.1	89.3	2223	very high noise
 191	 80000	60.3	84.5	2203	very high noise
 192	 80000	58.6	84.8	2219	very high noise
 193	 80000	59.6	87.4	2218	very high noise
 194	 80000	56.4	84.2	2217	very high noise
 195	 80000	58.8	91.0	2205	very high noise
 196	 80000	55.8	80.7	2226	very high noise
 197	 80000	52.2	69.2	2244	very high noise
 198	 80000	56.6	83.1	2233	very high noise
 199	 80000	54.5	80.0	2212	very high noise
 200	 80000	59.1	86.2	2248	very high noise
 201	 80000	57.6	85.3	2233	very high noise
 202	 80000	57.2	81.8	2198	very high noise
 203	 80000	57.9	87.6	2228	very high noise
 204	 80000	55.0	79.4	2185	very high noise
 205	 80000	58.1	83.9	2226	very high noise
 206	 80000	58.1	85.4	2211	very high noise
 207	 80000	55.2	82.9	2225	very high noise
 208	 80000	56.5	85.5	2241	very high noise
 209	 80000	56.2	81.4	2180	very high noise
 210	 80000	55.7	81.6	2201	very high noise
 211	 80000	58.9	90.3	2237	very high noise
 212	 80000	57.5	82.6	2232	very high noise
 213	 80000	56.5	85.6	2230	very high noise
 214	 80000	56.7	88.9	2232	very high noise
 215	 80000	57.8	84.5	2214	very high noise
 216	 80000	57.5	84.4	2210	very high noise
 217	 80000	57.7	83.1	2189	very high noise
 218	 80000	55.7	82.8	2247	very high noise
 219	 80000	52.7	75.9	2207	very high noise
 220	 80000	57.2	83.6	2221	very high noise
 221	 80000	55.9	84.2	2246	very high noise
 222	 80000	55.8	86.7	2233	very high noise
 223	 80000	57.1	85.2	2154	very high noise
 224	 80000	57.6	87.0	2231	very high noise
 225	 80000	54.9	83.8	2237	very high noise
 226	 80000	55.5	81.6	2187	very high noise
 227	 80000	55.9	85.9	2244	very high noise
 228	 80000	56.2	85.1	2230	very high noise
 229	 80000	55.4	82.7	2218	very high noise
 230	 80000	52.8	79.3	2239	very high noise
 231	 80000	57.0	88.4	2202	very high noise
 232	 80000	56.4	86.4	2229	very high noise
 233	 80000	55.2	82.5	2221	very high noise
 234	 80000	53.6	78.9	2214	very high noise
 235	 80000	58.4	88.2	2204	very high noise
 236	 80000	56.4	85.2	2229	very high noise
 237	 80000	55.3	80.7	2197	very high noise
 238	 80000	56.2	83.0	2188	very high noise
 239	 80000	59.2	88.5	2218	very high noise
 240	 80000	55.9	82.5	2220	very high noise
 241	 80000	56.1	80.7	2186	very high noise
 242	 80000	54.1	80.4	2222	very high noise
 243	 80000	52.9	79.2	2230	very high noise
 244	 80000	54.2	83.1	2246	very high noise
 245	 80000	56.9	88.3	2246	very high noise
 246	 80000	57.3	87.1	2255	very high noise
 247	 80000	57.4	82.7	2203	very high noise
 248	 80000	56.3	87.7	2217	very high noise
 249	 80000	55.5	83.2	2231	very high noise
 250	 80000	59.6	88.5	2233	very high noise
 251	 80000	58.1	87.8	2210	very high noise
