#chan	code	gain	vt50	innse	comment
   0	 80000	65.2	100.0	2107	very high noise
   1	     0	65.3	119.1	1888	OK
   2	     0	66.2	121.2	1877	OK
   3	     0	65.1	117.0	1883	OK
   4	     0	63.0	115.1	1898	OK
   5	     0	62.5	112.6	1887	OK
   6	     0	62.8	111.5	1915	OK
   7	     0	63.0	113.7	1921	OK
   8	     0	62.3	113.3	1846	OK
   9	     0	63.3	113.9	1905	OK
  10	     0	64.3	117.4	1896	OK
  11	     0	63.2	121.3	1809	OK
  12	     0	62.9	113.6	1915	OK
  13	     0	64.2	114.9	1907	OK
  14	     0	63.3	115.1	1872	OK
  15	     0	62.5	115.1	1880	OK
  16	 80000	60.2	91.9	2150	very high noise
  17	     0	63.0	115.2	1841	OK
  18	     0	63.0	114.9	1893	OK
  19	     0	64.1	118.0	1844	OK
  20	     0	64.0	110.9	1928	OK
  21	     0	62.0	111.7	1913	OK
  22	     0	64.7	120.7	1852	OK
  23	  4000	64.2	109.8	1965	high noise
  24	  4000	61.4	107.7	1949	high noise
  25	  4000	63.4	111.9	1941	high noise
  26	     0	62.1	114.3	1928	OK
  27	     0	64.3	113.6	1923	OK
  28	     0	62.6	114.2	1888	OK
  29	     0	63.0	118.2	1910	OK
  30	  4000	62.2	109.9	1948	high noise
  31	     0	64.4	114.2	1911	OK
  32	     0	63.5	117.0	1842	OK
  33	     0	61.7	111.7	1914	OK
  34	     0	62.1	114.3	1881	OK
  35	     0	63.5	115.4	1907	OK
  36	     0	63.3	118.6	1848	OK
  37	     0	64.5	122.1	1833	OK
  38	     0	64.7	116.5	1907	OK
  39	     0	64.6	117.5	1873	OK
  40	     0	63.6	116.2	1854	OK
  41	     0	62.3	111.6	1938	OK
  42	     0	63.6	116.8	1867	OK
  43	  4000	62.7	106.6	2000	high noise
  44	     0	64.9	117.0	1855	OK
  45	     0	64.4	115.5	1912	OK
  46	     0	63.0	113.0	1891	OK
  47	     0	62.0	118.8	1843	OK
  48	     0	63.4	114.9	1913	OK
  49	     0	64.3	118.0	1854	OK
  50	     0	64.6	114.8	1886	OK
  51	     0	64.8	120.6	1844	OK
  52	     0	63.3	113.9	1875	OK
  53	     0	62.1	111.0	1937	OK
  54	     0	65.2	122.7	1809	OK
  55	     0	62.5	115.0	1868	OK
  56	     0	63.2	116.1	1857	OK
  57	     0	62.3	110.7	1921	OK
  58	     0	65.1	120.0	1841	OK
  59	     0	63.2	113.3	1896	OK
  60	     0	64.7	119.4	1859	OK
  61	     0	64.4	122.9	1845	OK
  62	     0	65.0	117.8	1845	OK
  63	     0	66.5	115.9	1895	OK
  64	     0	64.2	120.9	1823	OK
  65	     0	65.2	118.0	1866	OK
  66	     0	62.8	116.7	1857	OK
  67	     0	62.0	117.3	1876	OK
  68	  4000	62.9	110.4	1962	high noise
  69	     0	61.4	115.5	1872	OK
  70	     0	61.9	114.4	1855	OK
  71	     0	61.2	112.9	1899	OK
  72	     0	61.3	111.9	1891	OK
  73	     0	64.7	122.7	1828	OK
  74	     0	64.0	117.0	1834	OK
  75	     0	64.2	119.7	1824	OK
  76	     0	64.1	120.2	1812	OK
  77	     0	63.5	118.1	1848	OK
  78	     0	63.4	114.6	1881	OK
  79	     0	61.4	110.8	1860	OK
  80	     0	61.7	113.8	1852	OK
  81	     0	63.5	113.0	1861	OK
  82	     0	62.2	116.1	1871	OK
  83	     0	63.9	117.8	1855	OK
  84	     0	63.4	117.0	1795	OK
  85	     0	62.0	114.0	1860	OK
  86	     0	64.5	119.4	1825	OK
  87	     0	61.8	112.0	1877	OK
  88	     0	62.5	113.7	1891	OK
  89	     0	63.2	115.6	1862	OK
  90	     0	64.3	125.6	1772	OK
  91	     0	63.4	112.2	1888	OK
  92	     0	63.3	111.2	1917	OK
  93	     0	63.6	113.7	1898	OK
  94	     0	63.6	118.3	1811	OK
  95	     0	63.8	115.2	1847	OK
  96	     0	63.3	118.6	1834	OK
  97	     0	61.9	109.6	1933	OK
  98	     0	63.4	118.1	1810	OK
  99	     0	63.4	114.6	1843	OK
 100	     0	62.5	113.9	1887	OK
 101	     0	61.3	117.0	1839	OK
 102	     0	60.2	110.4	1856	OK
 103	     0	63.9	114.1	1878	OK
 104	     0	62.2	149.2	1820	OK
 105	     0	61.8	112.1	1888	OK
 106	     0	63.1	114.3	1874	OK
 107	     0	64.1	116.2	1850	OK
 108	     0	63.2	113.8	1843	OK
 109	     0	63.6	116.8	1840	OK
 110	     0	60.5	112.0	1835	OK
 111	     0	63.9	126.1	1768	OK
 112	     0	64.5	119.0	1807	OK
 113	     0	61.8	117.8	1829	OK
 114	     0	63.4	115.3	1856	OK
 115	     0	62.8	111.6	1888	OK
 116	     0	62.1	114.3	1843	OK
 117	     0	62.3	111.5	1891	OK
 118	     0	62.9	116.3	1836	OK
 119	     0	61.2	113.2	1823	OK
 120	     0	63.9	119.6	1803	OK
 121	     0	62.3	115.9	1832	OK
 122	     0	63.5	114.4	1855	OK
 123	     0	62.6	116.4	1821	OK
 124	     0	62.7	119.7	1816	OK
 125	     0	64.5	115.3	1889	OK
 126	  4000	63.8	112.4	1959	high noise
 127	 80000	66.2	116.4	2013	very high noise
 128	     0	68.1	123.6	1863	OK
 129	     0	69.0	121.6	1805	OK
 130	     0	67.3	123.6	1781	OK
 131	     0	68.3	120.6	1857	OK
 132	     0	67.3	116.8	1872	OK
 133	     0	67.3	137.1	1770	OK
 134	     0	64.9	122.9	1812	OK
 135	     0	66.8	121.0	1771	OK
 136	     0	66.6	123.2	1814	OK
 137	     0	66.5	115.8	1887	OK
 138	     0	64.8	115.2	1852	OK
 139	     0	66.6	118.4	1887	OK
 140	     0	65.7	120.2	1842	OK
 141	     0	65.3	119.1	1828	OK
 142	     0	66.2	122.0	1836	OK
 143	     0	66.5	118.7	1835	OK
 144	     0	66.3	123.2	1807	OK
 145	     0	65.9	117.6	1863	OK
 146	     0	65.5	118.5	1851	OK
 147	     0	66.5	116.4	1872	OK
 148	     0	64.7	117.8	1840	OK
 149	     0	65.2	121.0	1810	OK
 150	     0	66.6	119.9	1855	OK
 151	     0	66.9	117.1	1864	OK
 152	     0	65.8	118.5	1825	OK
 153	     0	67.3	116.6	1897	OK
 154	     0	67.7	118.9	1855	OK
 155	     0	65.3	115.7	1872	OK
 156	     0	67.0	116.1	1902	OK
 157	     0	65.5	116.1	1885	OK
 158	     0	65.3	121.3	1819	OK
 159	     0	67.0	138.6	1776	OK
 160	     0	64.9	118.0	1819	OK
 161	     0	66.7	119.6	1869	OK
 162	     0	66.5	123.3	1810	OK
 163	     0	66.8	118.6	1830	OK
 164	     0	64.4	113.1	1897	OK
 165	     0	66.8	115.9	1901	OK
 166	     0	65.3	120.0	1821	OK
 167	     0	66.3	116.5	1901	OK
 168	     0	65.9	116.9	1863	OK
 169	     0	66.3	122.1	1827	OK
 170	     0	65.5	117.7	1847	OK
 171	     0	66.7	119.7	1870	OK
 172	     0	66.0	115.1	1887	OK
 173	     0	66.1	118.0	1884	OK
 174	     0	65.8	120.0	1843	OK
 175	     0	65.3	113.2	1903	OK
 176	     0	66.0	120.9	1819	OK
 177	     0	67.9	118.8	1831	OK
 178	     0	66.5	119.2	1870	OK
 179	     0	68.7	122.7	1865	OK
 180	     0	66.6	117.4	1890	OK
 181	     0	66.4	115.4	1867	OK
 182	     0	66.7	123.8	1817	OK
 183	     0	68.6	125.8	1806	OK
 184	     0	66.8	117.0	1852	OK
 185	     0	66.2	122.8	1843	OK
 186	     0	66.6	121.0	1871	OK
 187	     0	66.2	119.6	1839	OK
 188	     0	67.5	121.5	1881	OK
 189	     0	67.1	121.6	1825	OK
 190	     0	69.3	125.4	1791	OK
 191	     0	69.3	120.9	1860	OK
 192	     0	67.9	120.0	1880	OK
 193	     0	68.3	122.9	1803	OK
 194	     0	65.5	118.2	1794	OK
 195	     0	66.9	125.5	1770	OK
 196	     0	65.9	114.6	1868	OK
 197	 80000	65.4	101.7	2088	very high noise
 198	     0	65.6	117.4	1828	OK
 199	     0	64.9	113.7	1866	OK
 200	     0	68.2	121.8	1832	OK
 201	     0	66.9	120.0	1833	OK
 202	     0	66.5	116.9	1829	OK
 203	     0	66.9	122.2	1832	OK
 204	     0	65.0	112.8	1885	OK
 205	     0	67.4	119.1	1826	OK
 206	     0	67.0	120.2	1812	OK
 207	     0	64.8	116.5	1825	OK
 208	     0	65.6	119.7	1821	OK
 209	     0	65.9	115.7	1873	OK
 210	     0	64.9	115.1	1841	OK
 211	     0	67.7	125.3	1800	OK
 212	     0	67.0	117.6	1840	OK
 213	     0	65.9	119.5	1842	OK
 214	     0	65.5	122.4	1786	OK
 215	     0	66.5	118.9	1832	OK
 216	     0	66.4	119.2	1858	OK
 217	     0	67.1	118.1	1828	OK
 218	     0	65.5	117.0	1828	OK
 219	  4000	63.0	108.2	1925	high noise
 220	     0	66.2	118.0	1831	OK
 221	     0	65.3	117.8	1813	OK
 222	     0	64.1	120.1	1790	OK
 223	     0	66.1	119.2	1821	OK
 224	     0	66.5	121.1	1815	OK
 225	     0	64.3	116.7	1838	OK
 226	     0	65.4	115.6	1810	OK
