#chan	code	gain	vt50	innse	comment
   0	 40000	69.5	23.7	  12	very low noise
   1	 40000	68.5	23.7	  12	very low noise
   2	 40000	69.5	23.7	  12	very low noise
   3	 40000	68.6	23.7	  12	very low noise
   4	 40000	66.4	23.7	  13	very low noise
   5	 40000	66.0	23.7	  13	very low noise
   6	 40000	66.2	23.7	  13	very low noise
   7	 40000	66.5	23.7	  13	very low noise
   8	 40000	65.8	23.7	  13	very low noise
   9	 40000	66.8	23.7	  13	very low noise
  10	 40000	67.6	23.7	  12	very low noise
  11	 40000	66.4	23.7	  13	very low noise
  12	 40000	66.3	23.7	  13	very low noise
  13	 40000	67.8	23.7	  12	very low noise
  14	 40000	66.6	23.7	  13	very low noise
  15	 40000	65.7	23.7	  13	very low noise
  16	 40000	64.5	23.7	  13	very low noise
  17	 40000	66.4	23.7	  13	very low noise
  18	 40000	66.3	23.7	  13	very low noise
  19	 40000	67.4	23.7	  12	very low noise
  20	 40000	67.7	23.7	  12	very low noise
  21	 40000	65.5	23.7	  13	very low noise
  22	 40000	67.8	23.7	  12	very low noise
  23	 40000	68.0	23.7	  12	very low noise
  24	 40000	65.1	23.7	  13	very low noise
  25	 40000	67.1	23.7	  12	very low noise
  26	 40000	65.6	23.7	  13	very low noise
  27	 40000	67.7	23.7	  12	very low noise
  28	 40000	66.1	23.7	  13	very low noise
  29	 40000	66.4	23.7	  13	very low noise
  30	 40000	65.9	23.7	  13	very low noise
  31	 40000	68.1	23.7	  12	very low noise
  32	 40000	66.7	23.7	  13	very low noise
  33	 40000	65.5	23.7	  13	very low noise
  34	 40000	65.5	23.7	  13	very low noise
  35	 40000	67.1	23.7	  12	very low noise
  36	 40000	66.6	23.7	  13	very low noise
  37	 40000	67.9	23.7	  12	very low noise
  38	 40000	68.4	23.7	  12	very low noise
  39	 40000	68.2	23.7	  12	very low noise
  40	 40000	67.2	23.7	  12	very low noise
  41	 40000	66.0	23.7	  13	very low noise
  42	 40000	66.9	23.7	  12	very low noise
  43	 40000	66.9	23.7	  12	very low noise
  44	 40000	68.4	23.7	  12	very low noise
  45	 40000	68.0	23.7	  12	very low noise
  46	 40000	66.2	23.7	  13	very low noise
  47	 40000	65.1	23.7	  13	very low noise
  48	 40000	66.7	23.7	  13	very low noise
  49	 40000	67.6	23.7	  12	very low noise
  50	 40000	68.5	23.7	  12	very low noise
  51	 40000	68.2	23.7	  12	very low noise
  52	 40000	66.9	23.7	  12	very low noise
  53	 40000	66.0	23.7	  13	very low noise
  54	 40000	68.4	23.7	  12	very low noise
  55	 40000	66.0	23.7	  13	very low noise
  56	 40000	66.8	23.7	  13	very low noise
  57	 40000	66.1	23.7	  13	very low noise
  58	 40000	68.3	23.7	  12	very low noise
  59	 40000	66.7	23.7	  13	very low noise
  60	 40000	68.0	23.7	  12	very low noise
  61	 40000	67.6	23.7	  12	very low noise
  62	 40000	68.4	23.7	  12	very low noise
  63	 40000	70.1	23.7	  12	very low noise
  64	 40000	67.6	23.7	  12	very low noise
  65	 40000	68.7	23.7	  12	very low noise
  66	 40000	66.2	23.7	  13	very low noise
  67	 40000	65.2	23.7	  13	very low noise
  68	 40000	66.6	23.7	  13	very low noise
  69	 40000	64.5	23.7	  13	very low noise
  70	 40000	65.2	23.7	  13	very low noise
  71	 40000	64.8	23.7	  13	very low noise
  72	 40000	65.0	23.7	  13	very low noise
  73	 40000	68.0	23.7	  12	very low noise
  74	 40000	67.7	23.7	  12	very low noise
