#chan	code	gain	vt50	innse	comment
   0	     4	61.2	90.6	3938	inefficient
   1	     4	63.4	98.1	3915	inefficient
   2	     4	56.9	58.5	4009	inefficient
   3	     4	56.9	82.7	3985	inefficient
   4	     4	58.7	91.2	3904	inefficient
   5	     4	56.2	87.0	3989	inefficient
   6	     4	57.5	82.6	3935	inefficient
   7	     4	58.2	88.9	3943	inefficient
   8	     4	56.8	89.8	3943	inefficient
   9	     4	57.8	84.4	3853	inefficient
  10	     4	57.9	88.2	4015	inefficient
  11	     4	59.1	89.4	3978	inefficient
  12	 80000	59.5	97.9	3969	very high noise
  13	     4	58.4	92.3	3991	inefficient
  14	     4	59.3	88.0	4008	inefficient
  15	 80000	57.7	93.4	3896	very high noise
  16	     4	56.7	88.6	3974	inefficient
  17	 80000	56.5	89.9	4013	very high noise
  18	     4	55.1	85.7	3957	inefficient
  19	     4	58.9	90.6	4003	inefficient
  20	     4	57.7	89.9	4034	inefficient
  21	     4	57.4	85.6	3955	inefficient
  22	     4	56.8	86.3	3964	inefficient
  23	     4	58.0	88.2	3950	inefficient
  24	     4	57.3	89.4	3989	inefficient
  25	     4	59.5	85.2	3975	inefficient
  26	     4	57.3	86.7	3972	inefficient
  27	     4	57.9	91.6	3901	inefficient
  28	     4	58.6	89.2	3946	inefficient
  29	     4	58.1	87.4	3965	inefficient
  30	     4	56.3	84.3	3929	inefficient
  31	 80000	57.7	90.6	3946	very high noise
  32	     4	56.8	87.6	4068	inefficient
  33	     4	60.2	88.5	4025	inefficient
  34	     4	59.0	88.8	3941	inefficient
  35	     4	61.0	94.9	3930	inefficient
  36	     4	58.7	86.9	3983	inefficient
  37	     4	58.0	88.7	4075	inefficient
  38	     4	57.6	86.4	3925	inefficient
  39	     4	57.9	91.3	3945	inefficient
  40	     4	56.8	88.6	3956	inefficient
  41	     4	57.2	88.6	3989	inefficient
  42	     4	57.4	87.1	3925	inefficient
  43	     4	56.1	83.3	3993	inefficient
  44	     4	56.0	85.0	3989	inefficient
  45	     4	58.1	92.2	3949	inefficient
  46	 80000	55.8	86.9	3986	very high noise
  47	     4	57.4	86.2	3943	inefficient
  48	     4	58.9	85.5	4000	inefficient
  49	 80000	59.5	90.5	3878	very high noise
  50	     4	59.3	89.7	3965	inefficient
  51	     4	58.4	86.6	3996	inefficient
  52	     4	60.2	89.1	3984	inefficient
  53	     4	58.0	86.3	3999	inefficient
  54	     4	56.5	87.2	3921	inefficient
  55	 80000	57.2	88.7	3865	very high noise
  56	     4	57.7	90.6	3939	inefficient
  57	 80000	61.5	112.6	3965	very high noise
  58	     4	56.9	89.7	4025	inefficient
  59	     4	59.6	88.7	3990	inefficient
  60	 80000	58.5	95.3	3989	very high noise
  61	     4	57.1	80.8	4043	inefficient
  62	 80000	63.4	181.3	3758	very high noise
  63	     4	62.4	87.0	4035	inefficient
  64	     4	60.5	96.7	4012	inefficient
  65	 80000	63.8	111.5	3906	very high noise
  66	 80000	57.7	96.4	3995	very high noise
  67	     4	59.3	91.9	3938	inefficient
  68	     4	60.0	92.4	3940	inefficient
  69	     4	59.1	87.6	3963	inefficient
  70	     4	57.1	84.1	4056	inefficient
  71	     4	59.3	90.5	3927	inefficient
  72	     4	58.7	87.2	3957	inefficient
  73	     4	56.5	87.0	4004	inefficient
  74	     4	58.0	89.3	3958	inefficient
  75	     4	59.7	88.0	3962	inefficient
  76	     4	56.6	80.0	3922	inefficient
  77	     4	57.5	86.1	3859	inefficient
  78	 80000	59.2	94.4	3858	very high noise
  79	 80000	59.2	91.0	3930	very high noise
  80	     4	57.7	83.7	3925	inefficient
  81	     4	58.7	91.5	3971	inefficient
  82	     4	58.1	86.3	3969	inefficient
  83	     4	57.0	85.5	3953	inefficient
  84	     4	59.9	91.6	3908	inefficient
  85	     4	56.6	87.1	3967	inefficient
  86	     4	59.1	84.3	3938	inefficient
  87	     4	56.5	86.7	4059	inefficient
  88	     4	57.5	85.9	3944	inefficient
  89	     4	56.7	88.9	4077	inefficient
  90	     4	58.1	85.0	4143	inefficient
  91	     4	58.6	93.6	4094	inefficient
  92	     4	59.5	92.5	4012	inefficient
  93	     4	55.9	89.0	3949	inefficient
  94	     4	56.2	86.9	3897	inefficient
  95	     4	57.0	87.3	3956	inefficient
  96	     4	58.9	81.0	3960	inefficient
  97	     4	57.0	90.7	3941	inefficient
  98	 80000	60.6	94.9	3942	very high noise
  99	     4	59.4	95.1	3884	inefficient
 100	     4	57.4	89.2	3937	inefficient
 101	     4	56.3	87.9	3910	inefficient
 102	 80000	58.7	91.7	3823	very high noise
 103	     4	58.4	93.3	3860	inefficient
 104	     4	58.5	85.7	3840	inefficient
 105	     4	56.9	89.7	3883	inefficient
 106	     4	57.0	85.8	3911	inefficient
 107	     4	58.4	89.2	3961	inefficient
 108	     4	58.9	87.4	4057	inefficient
 109	     4	56.2	87.8	4131	inefficient
 110	     4	58.7	90.0	4150	inefficient
 111	     4	59.0	87.8	4054	inefficient
 112	     4	58.8	93.8	3943	inefficient
 113	     4	59.8	88.8	3908	inefficient
 114	     4	57.2	82.9	3983	inefficient
 115	 80000	59.4	92.4	3910	very high noise
 116	     4	57.7	89.0	3967	inefficient
 117	     4	58.9	90.7	3887	inefficient
 118	 80000	58.1	91.6	3943	very high noise
 119	     4	57.5	92.1	3951	inefficient
 120	     4	57.5	83.5	3989	inefficient
 121	 80000	61.4	110.4	3855	very high noise
 122	     4	58.6	89.5	3895	inefficient
 123	     4	57.4	87.0	4042	inefficient
 124	     4	61.0	96.0	3919	inefficient
 125	     4	58.7	92.1	3969	inefficient
 126	     4	59.0	91.4	3974	inefficient
 127	     4	56.9	91.1	4318	inefficient
 128	     4	57.9	88.1	3963	inefficient
 129	     4	57.3	84.3	3925	inefficient
 130	 80000	55.7	93.1	3865	very high noise
 131	     4	58.8	89.2	3713	inefficient
 132	     4	55.4	90.5	3778	inefficient
 133	     4	57.9	87.2	3805	inefficient
 134	     4	55.5	85.6	3808	inefficient
 135	     4	58.1	85.2	3886	inefficient
 136	 80000	56.0	90.7	3780	very high noise
 137	     4	57.4	87.2	3750	inefficient
 138	 80000	55.3	88.9	3750	very high noise
 139	     4	54.7	85.0	3811	inefficient
 140	 80000	56.0	94.1	3777	very high noise
 141	     4	56.1	86.0	3815	inefficient
 142	     4	54.2	86.1	3790	inefficient
 143	 80000	57.1	146.2	3704	very high noise
 144	     4	56.1	90.7	3805	inefficient
 145	 80000	55.4	85.9	3777	very high noise
 146	 80000	55.8	92.0	3812	very high noise
 147	     4	58.0	89.8	3817	inefficient
 148	     4	57.1	90.6	3887	inefficient
 149	     4	57.4	86.4	3791	inefficient
 150	 80000	56.1	92.8	3860	very high noise
 151	 80000	54.8	90.8	3786	very high noise
 152	 80000	54.4	88.8	3909	very high noise
 153	     4	56.9	87.0	3784	inefficient
 154	 80000	58.7	95.2	3869	very high noise
 155	     4	55.6	75.1	3850	inefficient
 156	     4	53.6	70.3	3846	inefficient
 157	 80000	56.0	104.6	3794	very high noise
 158	 80000	56.6	89.0	3811	very high noise
 159	 80000	56.2	86.8	3763	very high noise
 160	 80000	54.4	96.9	3872	very high noise
 161	     4	57.9	90.7	3875	inefficient
 162	 80000	54.8	88.1	3850	very high noise
 163	     4	54.8	84.4	3839	inefficient
 164	 80000	56.2	91.6	3824	very high noise
 165	     4	55.2	84.9	3867	inefficient
 166	 80000	55.2	88.1	3798	very high noise
 167	     4	55.3	84.7	3867	inefficient
 168	     4	56.0	85.8	3776	inefficient
 169	     4	57.4	87.6	3905	inefficient
 170	 80000	56.6	86.0	3781	very high noise
 171	     4	57.2	86.6	3844	inefficient
 172	     4	54.2	79.4	3867	inefficient
 173	     4	56.7	78.7	3878	inefficient
 174	 80000	57.4	91.1	3828	very high noise
 175	     4	57.8	93.1	3861	inefficient
 176	     4	54.6	83.0	3929	inefficient
 177	     4	57.8	88.0	3825	inefficient
 178	     4	56.1	93.1	3889	inefficient
 179	 80000	59.0	95.2	3875	very high noise
 180	 80000	57.5	87.4	3862	very high noise
 181	 80000	57.0	89.1	3831	very high noise
 182	     4	54.6	86.4	3825	inefficient
 183	     4	57.1	84.4	3915	inefficient
 184	     4	59.4	91.7	3929	inefficient
 185	     4	57.5	88.7	3863	inefficient
 186	     4	56.6	86.1	3855	inefficient
 187	     4	56.6	88.9	3909	inefficient
 188	     4	55.9	90.4	3955	inefficient
 189	     4	57.3	85.3	3852	inefficient
 190	 80000	56.2	85.7	3788	very high noise
 191	 80000	57.1	85.6	3837	very high noise
 192	     4	57.0	86.0	3808	inefficient
 193	     4	57.3	88.0	3852	inefficient
 194	 80000	57.2	168.7	3781	very high noise
 195	     4	58.3	87.9	3945	inefficient
 196	     4	56.1	87.8	3930	inefficient
 197	     4	56.5	86.7	3883	inefficient
 198	     4	54.3	87.9	3880	inefficient
 199	 80000	60.3	141.2	3801	very high noise
 200	     4	54.7	83.5	3861	inefficient
 201	     4	56.7	86.5	3908	inefficient
 202	     4	53.2	80.1	3885	inefficient
 203	     4	56.4	85.5	3855	inefficient
 204	 80000	56.5	119.9	3864	very high noise
 205	     4	55.2	91.8	3931	inefficient
 206	     4	53.9	81.9	4027	inefficient
 207	     4	52.7	79.0	3964	inefficient
 208	 80000	56.0	93.0	3913	very high noise
 209	 80000	54.3	85.4	3829	very high noise
 210	     4	53.4	82.8	3958	inefficient
 211	     4	56.1	86.3	3902	inefficient
 212	     4	56.0	90.0	3859	inefficient
 213	     4	54.5	86.5	3890	inefficient
 214	     4	53.7	80.8	3921	inefficient
 215	     4	53.3	82.3	3875	inefficient
 216	     4	55.2	82.9	3889	inefficient
 217	     4	57.0	90.1	3943	inefficient
 218	 80000	55.6	87.8	3819	very high noise
 219	     4	54.5	84.6	3844	inefficient
 220	     4	54.5	86.3	3869	inefficient
 221	     4	55.4	90.9	3878	inefficient
 222	 80000	52.9	86.6	3918	very high noise
 223	 80000	55.5	88.7	3837	very high noise
 224	     4	56.4	83.3	3904	inefficient
 225	     4	55.8	83.8	3912	inefficient
 226	     4	55.2	86.0	3984	inefficient
 227	     4	56.2	92.0	3972	inefficient
 228	 80000	57.1	90.8	3949	very high noise
 229	     4	56.8	86.4	4030	inefficient
 230	 80000	53.1	82.6	3841	very high noise
 231	     4	56.5	91.3	3875	inefficient
 232	     4	53.8	85.0	3998	inefficient
 233	     4	54.5	88.2	3920	inefficient
 234	 80000	54.9	89.7	3894	very high noise
 235	     4	56.0	85.6	3951	inefficient
 236	 80000	58.9	171.1	3748	very high noise
 237	     4	57.0	89.2	3930	inefficient
