#chan	code	gain	vt50	innse	comment
   0	     0	77.4	145.3	 680	OK
   1	     0	75.6	140.2	 673	OK
   2	     0	76.6	142.0	 659	OK
   3	     0	78.6	145.2	 686	OK
   4	     0	75.7	140.2	 667	OK
   5	     0	76.7	141.8	 688	OK
   6	     0	76.2	143.1	 677	OK
   7	     0	76.3	143.1	 670	OK
   8	     0	75.4	141.9	 692	OK
   9	     0	77.0	143.5	 684	OK
  10	     0	74.5	140.0	 692	OK
  11	     0	76.1	141.7	 680	OK
  12	     0	77.1	144.7	 686	OK
  13	     0	75.8	141.1	 672	OK
  14	     0	78.1	147.4	 693	OK
  15	     0	77.4	142.8	 688	OK
  16	     0	76.2	140.5	 681	OK
  17	     0	76.8	144.7	 669	OK
  18	     0	72.9	137.3	 669	OK
  19	     0	75.8	141.5	 670	OK
  20	     0	75.5	140.3	 684	OK
  21	     0	77.7	143.6	 669	OK
  22	     0	74.9	140.0	 664	OK
  23	     0	75.1	142.3	 683	OK
  24	     0	76.2	139.6	 656	OK
  25	     0	75.7	140.6	 671	OK
  26	     0	77.2	142.8	 692	OK
  27	     0	75.9	141.8	 685	OK
  28	     0	76.6	141.7	 692	OK
  29	     0	75.1	139.3	 661	OK
  30	     0	75.0	139.7	 692	OK
  31	     0	75.0	140.1	 661	OK
  32	     0	74.8	140.7	 664	OK
  33	     0	75.1	139.9	 686	OK
  34	     0	76.5	143.7	 676	OK
  35	     0	76.3	140.4	 676	OK
  36	     0	77.4	142.2	 676	OK
  37	     0	74.4	139.1	 674	OK
  38	     0	75.9	140.0	 701	OK
  39	     0	76.0	139.4	 672	OK
  40	     0	77.1	143.1	 698	OK
  41	     0	76.0	142.6	 685	OK
  42	     0	77.1	144.1	 673	OK
  43	     0	78.4	144.6	 684	OK
  44	     0	75.7	142.4	 680	OK
  45	     0	75.1	140.2	 687	OK
  46	     0	75.7	140.6	 675	OK
  47	     0	77.3	142.4	 661	OK
  48	     0	73.3	137.6	 685	OK
  49	     0	76.7	141.4	 671	OK
  50	     0	76.9	142.5	 687	OK
  51	     0	76.0	142.2	 687	OK
  52	     0	76.9	145.6	 662	OK
  53	     0	75.4	140.1	 665	OK
  54	     0	76.5	143.0	 675	OK
  55	     0	79.6	146.8	 692	OK
  56	     0	74.7	139.4	 671	OK
  57	     0	77.1	143.2	 676	OK
  58	     0	77.9	143.0	 682	OK
  59	     0	76.2	141.5	 673	OK
  60	     0	77.0	144.7	 679	OK
  61	     0	77.2	142.7	 684	OK
  62	     0	77.1	142.5	 701	OK
  63	     0	78.3	147.0	 676	OK
  64	     0	78.3	145.7	 678	OK
  65	     0	79.4	145.6	 681	OK
  66	     0	75.5	140.9	 681	OK
  67	     0	77.7	144.0	 657	OK
  68	     0	79.6	146.9	 679	OK
  69	     0	78.2	146.1	 678	OK
  70	     0	79.1	146.9	 683	OK
  71	     0	75.0	141.8	 681	OK
  72	     0	79.3	147.3	 679	OK
  73	     0	77.6	145.0	 675	OK
  74	     0	79.7	146.6	 669	OK
  75	     0	80.4	149.0	 680	OK
  76	     0	76.2	139.9	 666	OK
  77	     0	78.0	144.1	 674	OK
  78	     0	77.5	143.7	 666	OK
  79	     0	77.3	141.5	 678	OK
  80	     0	78.4	143.8	 663	OK
  81	     0	77.1	141.7	 663	OK
  82	     0	79.7	146.6	 686	OK
  83	     0	80.3	149.7	 667	OK
  84	     0	79.8	149.2	 666	OK
  85	     0	77.0	144.4	 663	OK
  86	     0	79.1	146.0	 653	OK
  87	     0	79.0	146.1	 667	OK
  88	     0	78.1	143.8	 668	OK
  89	     0	76.9	141.8	 674	OK
  90	     0	78.9	147.0	 664	OK
  91	     0	76.6	143.0	 661	OK
  92	     0	77.7	145.1	 656	OK
  93	     0	80.5	149.7	 639	OK
  94	     0	77.3	141.8	 642	OK
  95	     0	76.7	142.0	 650	OK
  96	     0	78.2	145.2	 661	OK
  97	     0	80.1	147.6	 643	OK
  98	     0	78.5	143.1	 654	OK
  99	     0	78.3	144.6	 653	OK
 100	     0	79.1	144.8	 649	OK
 101	     0	77.2	142.6	 646	OK
 102	     0	78.8	146.4	 636	OK
 103	     0	79.3	145.2	 655	OK
 104	     0	80.3	148.0	 649	OK
 105	     0	78.3	145.9	 649	OK
 106	     0	82.1	152.9	 640	OK
 107	     0	79.8	147.0	 640	OK
 108	     0	79.8	144.3	 658	OK
 109	     0	80.5	148.8	 641	OK
 110	     0	78.0	142.5	 667	OK
 111	     0	79.5	146.5	 634	OK
 112	     0	77.6	141.7	 641	OK
 113	     0	79.8	147.3	 639	OK
 114	     0	78.5	145.4	 649	OK
 115	     0	80.1	148.2	 650	OK
 116	     0	76.6	139.7	 646	OK
 117	     0	77.8	142.8	 644	OK
 118	     0	81.3	148.9	 631	OK
 119	     0	78.7	145.5	 653	OK
 120	     0	80.3	147.1	 636	OK
 121	     0	78.4	145.7	 653	OK
 122	     0	79.1	147.8	 618	OK
 123	     0	81.4	149.8	 633	OK
 124	     0	80.6	149.4	 620	OK
 125	     0	80.8	147.6	 653	OK
 126	     0	80.6	148.5	 636	OK
 127	     0	85.0	154.6	 648	OK
 128	     0	78.8	146.1	 692	OK
 129	     0	77.7	143.1	 691	OK
 130	     0	79.8	147.4	 659	OK
 131	     0	78.4	143.5	 689	OK
 132	     0	77.8	143.9	 670	OK
 133	     0	78.5	142.9	 672	OK
 134	     0	80.0	148.5	 666	OK
