#chan	code	gain	vt50	innse	comment
   0	 80000	68.3	125.0	3351	very high noise
   1	 80000	70.7	130.8	3360	very high noise
   2	     4	65.2	85.3	3383	inefficient
   3	 80000	66.4	116.1	3348	very high noise
   4	 80000	66.7	124.1	3378	very high noise
   5	 80000	65.1	114.5	3378	very high noise
   6	 80000	66.8	122.2	3364	very high noise
   7	 80000	66.3	121.9	3399	very high noise
   8	 80000	65.4	133.3	3416	very high noise
   9	 80000	66.2	121.1	3336	very high noise
  10	 80000	66.1	124.4	3368	very high noise
  11	 80000	67.7	123.0	3373	very high noise
  12	 80000	68.4	126.5	3324	very high noise
  13	 80000	67.3	123.9	3386	very high noise
  14	 80000	68.6	123.0	3392	very high noise
  15	 80000	65.7	123.4	3414	very high noise
  16	 80000	64.5	124.3	3371	very high noise
  17	 80000	65.5	117.1	3407	very high noise
  18	 80000	64.1	115.1	3337	very high noise
  19	 80000	67.9	122.7	3335	very high noise
  20	 80000	66.8	121.1	3317	very high noise
  21	 80000	66.3	124.9	3385	very high noise
  22	 80000	65.9	119.6	3358	very high noise
  23	 80000	67.0	119.0	3378	very high noise
  24	 80000	66.6	123.0	3397	very high noise
  25	     4	67.7	103.2	3405	inefficient
  26	 80000	66.1	119.9	3401	very high noise
  27	 80000	66.2	122.3	3372	very high noise
  28	 80000	67.0	128.1	3367	very high noise
  29	 80000	66.6	124.3	3400	very high noise
  30	 80000	65.2	117.5	3347	very high noise
  31	 80000	67.2	124.5	3376	very high noise
  32	 80000	65.2	123.0	3372	very high noise
  33	 80000	69.0	129.7	3390	very high noise
  34	 80000	67.0	125.2	3407	very high noise
  35	 80000	69.5	126.6	3379	very high noise
  36	 80000	67.5	123.5	3411	very high noise
  37	 80000	66.7	122.9	3426	very high noise
  38	 80000	66.4	134.1	3378	very high noise
  39	 80000	66.1	124.3	3355	very high noise
  40	 80000	65.5	115.6	3398	very high noise
  41	 80000	66.2	125.4	3367	very high noise
  42	 80000	66.2	122.8	3352	very high noise
  43	 80000	65.5	116.9	3323	very high noise
  44	 80000	65.3	120.3	3407	very high noise
  45	 80000	66.5	119.8	3382	very high noise
  46	 80000	65.4	122.2	3330	very high noise
  47	 80000	66.2	108.7	3347	very high noise
  48	 80000	67.9	122.1	3327	very high noise
  49	 80000	67.1	121.5	3385	very high noise
  50	 80000	67.2	123.3	3404	very high noise
  51	 80000	66.5	120.5	3376	very high noise
  52	 80000	69.0	121.8	3400	very high noise
  53	 80000	66.7	119.9	3422	very high noise
  54	 80000	65.3	119.6	3359	very high noise
  55	 80000	66.3	122.1	3337	very high noise
  56	 80000	66.2	124.2	3387	very high noise
  57	 80000	68.4	127.5	3409	very high noise
  58	 80000	65.8	117.3	3401	very high noise
  59	 80000	68.6	142.8	3368	very high noise
  60	 80000	67.2	126.3	3373	very high noise
  61	 80000	66.6	126.1	3369	very high noise
  62	 80000	69.7	126.6	3421	very high noise
  63	 80000	71.5	129.3	3379	very high noise
  64	 80000	68.8	129.5	3352	very high noise
  65	 80000	70.3	175.9	3367	very high noise
  66	 80000	65.6	127.3	3420	very high noise
  67	 80000	67.8	126.3	3401	very high noise
  68	 80000	68.3	127.0	3394	very high noise
  69	 80000	67.6	122.6	3375	very high noise
  70	 80000	66.0	129.5	3380	very high noise
  71	 80000	67.7	119.7	3370	very high noise
  72	 80000	67.2	121.0	3372	very high noise
  73	 80000	65.2	122.8	3362	very high noise
  74	 80000	66.5	123.6	3338	very high noise
  75	 80000	68.0	128.7	3363	very high noise
