#chan	code	gain	vt50	innse	comment
   0	     4	62.5	91.8	3457	inefficient
   1	     4	64.3	97.3	3503	inefficient
   2	     4	57.4	54.1	3659	inefficient
   3	     4	59.8	84.2	3498	inefficient
   4	     4	60.4	92.8	3523	inefficient
   5	     4	58.2	83.1	3535	inefficient
   6	 80000	59.8	90.1	3547	very high noise
   7	 80000	59.6	90.6	3501	very high noise
   8	 80000	59.5	101.9	3504	very high noise
   9	     4	60.2	88.9	3458	inefficient
  10	 80000	59.4	93.2	3469	very high noise
  11	     4	60.9	90.9	3516	inefficient
  12	     4	61.7	94.2	3531	inefficient
  13	     4	61.0	91.7	3441	inefficient
  14	     4	62.4	90.3	3514	inefficient
  15	     4	58.8	92.2	3538	inefficient
  16	 80000	58.6	92.7	3508	very high noise
  17	     4	58.4	86.6	3583	inefficient
  18	 80000	56.9	84.4	3499	very high noise
  19	     4	60.9	90.1	3537	inefficient
  20	 80000	60.3	88.5	3477	very high noise
  21	 80000	59.8	93.5	3519	very high noise
  22	 80000	59.3	88.3	3427	very high noise
  23	 80000	60.3	87.5	3478	very high noise
  24	     4	60.4	90.8	3507	inefficient
  25	     4	59.6	70.6	3670	inefficient
  26	 80000	59.1	88.3	3527	very high noise
  27	 80000	59.8	90.8	3470	very high noise
  28	 80000	61.0	96.2	3481	very high noise
  29	 80000	60.1	92.4	3517	very high noise
  30	     4	58.5	86.3	3515	inefficient
  31	     4	60.6	92.1	3448	inefficient
  32	     4	59.4	92.4	3469	inefficient
  33	     4	62.6	95.7	3555	inefficient
  34	     4	60.7	93.3	3533	inefficient
  35	     4	63.0	94.0	3497	inefficient
  36	     4	61.4	91.7	3510	inefficient
  37	 80000	61.3	90.8	3504	very high noise
  38	 80000	60.3	102.2	3442	very high noise
  39	     4	59.7	93.1	3499	inefficient
  40	     4	57.9	84.4	3561	inefficient
  41	     4	60.6	93.3	3483	inefficient
  42	 80000	59.7	91.6	3488	very high noise
  43	     4	58.3	85.4	3554	inefficient
  44	 80000	58.7	90.0	3535	very high noise
  45	     4	59.6	88.2	3485	inefficient
  46	 80000	58.8	91.1	3477	very high noise
  47	     4	58.7	77.0	3592	inefficient
  48	 80000	61.1	89.9	3460	very high noise
  49	     4	61.0	89.5	3516	inefficient
  50	     4	60.9	91.4	3586	inefficient
  51	     4	60.1	88.5	3562	inefficient
  52	     4	62.3	88.3	3522	inefficient
  53	     4	61.1	88.3	3446	inefficient
  54	 80000	58.5	88.5	3527	very high noise
  55	     4	59.6	90.0	3501	inefficient
  56	 80000	60.3	91.9	3515	very high noise
  57	 80000	62.4	94.8	3478	very high noise
  58	     4	59.3	86.3	3555	inefficient
  59	 80000	63.4	109.4	3461	very high noise
  60	     4	61.2	93.9	3553	inefficient
  61	     4	60.7	94.2	3502	inefficient
  62	 80000	63.1	93.1	3506	very high noise
  63	     4	65.6	94.5	3508	inefficient
  64	     4	62.4	96.2	3500	inefficient
  65	 80000	65.2	141.6	3495	very high noise
  66	 80000	60.1	95.7	3518	very high noise
  67	 80000	61.2	93.7	3518	very high noise
  68	 80000	62.6	94.2	3488	very high noise
  69	     4	61.5	89.5	3555	inefficient
  70	 80000	60.5	98.5	3462	very high noise
  71	 80000	61.4	87.1	3437	very high noise
  72	     4	60.7	89.2	3464	inefficient
  73	     4	59.4	91.5	3487	inefficient
  74	     4	60.4	91.5	3442	inefficient
  75	 80000	61.8	96.6	3440	very high noise
  76	     4	59.2	86.8	3493	inefficient
  77	     4	59.2	88.2	3486	inefficient
  78	     4	61.2	90.4	3478	inefficient
  79	     4	62.3	92.8	3481	inefficient
  80	 80000	61.5	107.2	3444	very high noise
  81	     4	61.0	90.9	3473	inefficient
  82	 80000	60.9	93.8	3461	very high noise
  83	 80000	59.7	89.5	3470	very high noise
  84	     4	61.7	90.5	3468	inefficient
  85	     4	59.8	85.7	3455	inefficient
  86	 80000	62.5	93.4	3425	very high noise
  87	     4	58.5	83.2	3568	inefficient
  88	 80000	60.3	92.9	3485	very high noise
  89	     4	59.1	85.6	3571	inefficient
  90	     4	59.5	73.2	3654	inefficient
  91	     4	59.6	80.2	3626	inefficient
  92	     4	61.8	91.0	3452	inefficient
  93	 80000	58.6	90.1	3455	very high noise
  94	 80000	58.2	86.3	3463	very high noise
  95	 80000	59.7	90.9	3472	very high noise
  96	 80000	61.5	91.2	3459	very high noise
  97	     4	59.7	89.9	3462	inefficient
  98	     4	62.8	93.9	3548	inefficient
  99	 80000	61.9	104.9	3446	very high noise
 100	 80000	59.9	88.2	3469	very high noise
 101	     4	58.6	89.2	3464	inefficient
 102	     4	60.7	93.1	3455	inefficient
 103	     4	60.1	87.6	3533	inefficient
 104	 80000	60.7	90.6	3512	very high noise
 105	 80000	60.8	107.6	3432	very high noise
 106	 80000	60.5	96.1	3438	very high noise
 107	     4	60.5	90.9	3504	inefficient
 108	     4	60.7	89.2	3606	inefficient
 109	     4	58.1	84.7	3736	inefficient
 110	     4	60.9	91.5	3735	inefficient
 111	     4	61.2	89.9	3601	inefficient
 112	     4	60.6	90.5	3524	inefficient
 113	     4	61.6	87.1	3503	inefficient
 114	 80000	61.3	123.6	3449	very high noise
 115	     4	61.0	91.4	3470	inefficient
 116	     4	60.1	88.0	3491	inefficient
 117	 80000	61.6	95.2	3475	very high noise
 118	     4	60.7	91.2	3454	inefficient
 119	     4	59.8	86.4	3500	inefficient
 120	     4	60.8	82.7	3501	inefficient
 121	     4	62.2	92.7	3471	inefficient
 122	     4	60.8	90.7	3475	inefficient
 123	 80000	60.3	91.6	3532	very high noise
 124	 80000	63.5	97.0	3468	very high noise
 125	     4	61.1	96.3	3507	inefficient
 126	     4	61.4	90.1	3549	inefficient
 127	     4	59.3	90.2	3731	inefficient
