#chan	code	gain	vt50	innse	comment
   0	     0	77.8	145.3	 678	OK
   1	     0	78.5	146.8	 692	OK
   2	     0	79.9	150.8	 695	OK
   3	     0	78.2	146.7	 699	OK
   4	     0	77.9	143.9	 691	OK
   5	     0	76.5	146.0	 714	OK
   6	     0	77.6	145.7	 694	OK
   7	     0	78.7	145.9	 709	OK
   8	     0	76.2	143.1	 687	OK
   9	     0	77.2	144.8	 675	OK
  10	     0	77.8	148.1	 687	OK
  11	     0	78.0	145.3	 688	OK
  12	     0	77.8	148.2	 697	OK
  13	     0	76.7	143.4	 705	OK
  14	     0	77.6	145.6	 679	OK
  15	     0	75.7	142.1	 693	OK
  16	     0	79.3	148.4	 699	OK
  17	     0	76.8	144.5	 680	OK
  18	     0	77.3	145.2	 666	OK
  19	     0	78.0	147.5	 700	OK
  20	     0	76.0	144.4	 681	OK
  21	     0	77.8	146.4	 702	OK
  22	     0	77.8	146.0	 694	OK
  23	     0	77.4	148.0	 672	OK
  24	     0	77.6	146.0	 698	OK
  25	     0	77.5	145.2	 692	OK
  26	     0	76.2	144.8	 692	OK
  27	     0	78.1	146.8	 695	OK
  28	     0	77.0	145.0	 691	OK
  29	     0	75.2	142.3	 677	OK
  30	     0	78.1	147.5	 691	OK
  31	     0	75.8	142.3	 682	OK
  32	     0	77.3	145.8	 688	OK
  33	     0	77.0	144.9	 694	OK
  34	     0	75.6	143.1	 705	OK
  35	     0	75.6	141.7	 678	OK
  36	     0	75.6	141.9	 710	OK
  37	     0	75.3	142.1	 686	OK
  38	     0	76.6	145.1	 704	OK
  39	     0	75.5	144.7	 700	OK
  40	     0	76.7	143.6	 695	OK
  41	     0	77.3	145.4	 681	OK
  42	     0	77.7	146.8	 689	OK
  43	     0	76.4	144.1	 685	OK
  44	     0	79.5	147.8	 678	OK
  45	     0	76.5	145.4	 689	OK
  46	     0	77.2	145.6	 681	OK
  47	     0	77.0	147.4	 673	OK
  48	     0	78.0	145.6	 684	OK
  49	     0	77.3	145.2	 676	OK
  50	     0	76.5	145.0	 683	OK
  51	     0	76.0	142.2	 677	OK
  52	     0	76.4	142.6	 683	OK
  53	     0	77.7	147.0	 683	OK
  54	     0	78.4	146.9	 688	OK
  55	     0	76.0	142.3	 675	OK
  56	     0	78.7	150.5	 701	OK
  57	     0	77.7	146.7	 685	OK
  58	     0	78.0	145.6	 688	OK
  59	     0	77.3	144.8	 690	OK
  60	     0	78.2	147.0	 683	OK
  61	     0	78.8	148.4	 679	OK
  62	     0	78.1	146.4	 685	OK
  63	     0	79.5	151.2	 695	OK
  64	     0	78.3	147.4	 695	OK
  65	     0	75.4	141.6	 674	OK
  66	     0	76.7	146.4	 692	OK
  67	     0	76.4	146.1	 696	OK
  68	     0	76.2	145.6	 665	OK
  69	     0	78.0	146.8	 691	OK
  70	     0	77.3	143.7	 681	OK
  71	     0	77.4	144.5	 681	OK
  72	     0	74.7	142.6	 675	OK
  73	     0	76.6	145.7	 685	OK
  74	     0	77.3	145.4	 688	OK
  75	     0	76.8	145.4	 685	OK
  76	     0	77.8	146.3	 685	OK
  77	     0	75.6	142.4	 693	OK
  78	     0	76.8	144.5	 676	OK
  79	     0	77.1	146.4	 681	OK
  80	     0	74.7	140.7	 681	OK
  81	     0	78.4	146.6	 681	OK
  82	     0	75.2	141.3	 679	OK
  83	     0	74.1	141.1	 672	OK
  84	     0	76.4	144.5	 669	OK
  85	     0	76.7	145.2	 682	OK
  86	     0	75.8	142.1	 708	OK
  87	     0	76.4	144.0	 663	OK
