#chan	code	gain	vt50	innse	comment
   0	     0	76.3	146.4	 627	OK
   1	     0	75.3	143.5	 629	OK
   2	     0	78.2	147.0	 633	OK
   3	     0	75.5	146.0	 624	OK
   4	     0	77.7	146.4	 613	OK
   5	     0	75.0	145.4	 618	OK
   6	     0	76.1	144.1	 626	OK
   7	     0	77.1	147.3	 625	OK
   8	     0	75.2	145.8	 620	OK
   9	     0	74.7	141.8	 616	OK
  10	     0	75.4	142.6	 632	OK
  11	     0	76.9	147.8	 613	OK
  12	     0	77.2	146.1	 600	OK
  13	     0	76.1	144.6	 608	OK
  14	     0	75.5	142.1	 621	OK
  15	     0	75.3	144.1	 631	OK
  16	     0	76.9	143.9	 624	OK
  17	     0	77.3	145.7	 609	OK
  18	     0	77.8	147.2	 617	OK
  19	     0	75.1	142.6	 629	OK
  20	     0	74.4	140.5	 617	OK
  21	     0	77.6	149.4	 611	OK
  22	     0	74.1	141.8	 618	OK
  23	     0	76.1	144.4	 646	OK
  24	     0	75.0	140.8	 611	OK
  25	     0	77.2	148.2	 621	OK
  26	     0	74.0	141.0	 616	OK
  27	     0	75.4	144.9	 614	OK
  28	     0	76.1	145.4	 614	OK
  29	     0	74.8	143.5	 633	OK
  30	     0	75.4	143.0	 619	OK
  31	     0	74.0	141.1	 617	OK
  32	     0	75.8	145.7	 614	OK
  33	     0	77.1	146.7	 610	OK
  34	     0	75.3	141.9	 627	OK
  35	     0	74.1	142.2	 620	OK
  36	     0	75.7	144.1	 631	OK
  37	     0	76.3	145.0	 606	OK
  38	     0	77.3	146.3	 633	OK
  39	     0	75.4	143.2	 619	OK
  40	     0	74.6	141.7	 625	OK
  41	     0	75.4	143.2	 607	OK
  42	     0	74.9	144.1	 616	OK
  43	     0	75.2	143.5	 603	OK
  44	     0	75.1	141.8	 618	OK
  45	     0	76.4	144.1	 635	OK
  46	     0	77.0	145.9	 623	OK
  47	     0	76.6	145.7	 633	OK
  48	     0	77.4	145.7	 613	OK
  49	     0	76.2	144.0	 612	OK
  50	     0	76.5	146.5	 613	OK
  51	     0	74.8	143.5	 607	OK
  52	     0	76.5	145.4	 613	OK
  53	     0	76.3	145.2	 617	OK
  54	     0	75.2	142.5	 613	OK
  55	     0	75.1	144.4	 614	OK
  56	     0	74.3	140.5	 596	OK
  57	     0	73.9	142.2	 619	OK
  58	     0	76.5	145.5	 641	OK
  59	     0	73.3	142.2	 607	OK
  60	     0	77.4	149.0	 627	OK
  61	     0	78.0	148.1	 618	OK
  62	     0	75.4	143.9	 635	OK
  63	     0	77.1	145.9	 622	OK
  64	     0	77.6	148.6	 606	OK
  65	     0	77.4	148.7	 622	OK
  66	     0	76.9	146.9	 604	OK
  67	     0	75.5	145.6	 606	OK
  68	     0	76.8	146.9	 616	OK
  69	     0	75.3	141.9	 626	OK
  70	     0	75.4	142.3	 612	OK
  71	     0	73.9	140.8	 618	OK
  72	     0	75.5	144.4	 611	OK
  73	     0	74.5	143.1	 621	OK
  74	     0	75.6	144.8	 624	OK
  75	     0	75.2	141.4	 632	OK
  76	     0	75.0	142.1	 619	OK
  77	     0	75.8	145.8	 623	OK
  78	     0	79.9	152.9	 621	OK
  79	     0	75.2	142.2	 631	OK
  80	     0	74.6	142.3	 606	OK
  81	     0	75.8	145.7	 619	OK
