#chan	code	gain	vt50	innse	comment
   0	     0	73.7	132.1	1221	OK
   1	     0	71.5	131.2	1231	OK
   2	     0	69.3	123.3	1211	OK
   3	     0	71.0	128.1	1212	OK
   4	     0	70.9	129.7	1192	OK
   5	     0	70.8	128.8	1209	OK
   6	     0	69.4	126.1	1204	OK
   7	     0	69.2	122.6	1219	OK
   8	     0	69.1	125.9	1205	OK
   9	     0	71.4	128.7	1198	OK
  10	     0	68.7	124.7	1208	OK
  11	     0	70.3	125.3	1189	OK
  12	     0	70.4	127.9	1226	OK
  13	     0	72.6	128.0	1206	OK
  14	     0	70.1	126.9	1196	OK
  15	     0	70.1	126.0	1207	OK
  16	     0	68.3	123.5	1212	OK
  17	     0	70.3	128.2	1189	OK
  18	     0	72.2	130.3	1189	OK
  19	     0	70.0	125.5	1213	OK
  20	     0	69.6	125.2	1200	OK
  21	     0	70.3	126.6	1185	OK
  22	     0	70.8	128.3	1201	OK
  23	     0	72.7	130.4	1200	OK
  24	     0	71.6	130.2	1221	OK
  25	     0	71.2	130.1	1222	OK
  26	     0	71.3	131.4	1189	OK
  27	     0	70.6	126.5	1190	OK
  28	     0	69.1	125.3	1180	OK
  29	     0	73.4	130.7	1212	OK
  30	     0	71.0	128.8	1206	OK
  31	     0	70.2	126.7	1203	OK
  32	     0	71.5	129.0	1229	OK
  33	     0	71.2	130.8	1224	OK
  34	     0	71.9	129.2	1197	OK
  35	     0	69.1	126.3	1212	OK
  36	     0	70.3	127.4	1223	OK
  37	     0	71.2	127.4	1231	OK
  38	     0	70.0	125.3	1218	OK
  39	     0	71.5	127.8	1229	OK
  40	     0	70.0	128.1	1202	OK
  41	     0	71.1	128.0	1199	OK
  42	     0	71.6	130.3	1197	OK
  43	     0	71.9	127.7	1222	OK
  44	     0	68.1	122.0	1203	OK
  45	     0	70.9	127.2	1199	OK
  46	     0	70.0	126.1	1193	OK
  47	     0	73.0	130.9	1199	OK
  48	     0	72.0	127.7	1211	OK
  49	     0	70.9	127.8	1215	OK
  50	     0	70.6	126.4	1224	OK
  51	     0	71.7	129.6	1226	OK
  52	     0	68.7	124.0	1216	OK
  53	     0	71.6	128.9	1192	OK
  54	     0	70.4	127.5	1210	OK
  55	     0	68.8	122.7	1196	OK
