#chan	code	gain	vt50	innse	comment
   0	  1000	72.9	141.1	 421	unbonded
   1	     0	70.7	124.9	1083	OK
   2	     0	69.9	123.9	1130	OK
   3	     0	71.3	134.8	1121	OK
   4	     0	71.2	128.1	1134	OK
   5	     0	72.2	128.2	1124	OK
   6	     0	70.9	130.5	1107	OK
   7	     0	69.7	124.0	1099	OK
   8	     0	71.7	129.1	1121	OK
   9	     0	70.7	129.7	1112	OK
  10	     0	71.4	127.5	1146	OK
  11	     0	74.1	134.8	1126	OK
  12	     0	72.2	131.3	1115	OK
  13	     0	72.4	131.1	1108	OK
  14	     0	69.7	126.7	1111	OK
  15	     0	70.8	127.3	1134	OK
  16	     0	70.5	128.2	1107	OK
  17	     0	69.6	127.6	1119	OK
  18	     0	72.2	128.9	1126	OK
  19	     0	70.2	128.0	1120	OK
  20	     0	69.6	126.3	1109	OK
  21	     0	70.6	128.5	1089	OK
  22	     0	68.5	124.2	1116	OK
  23	     0	68.9	126.5	1109	OK
  24	     0	69.1	125.5	1113	OK
  25	     0	72.1	130.2	1113	OK
  26	     0	68.8	124.8	1123	OK
  27	     0	66.7	121.6	1112	OK
  28	     0	71.7	130.7	1106	OK
  29	     0	68.9	126.9	1118	OK
  30	     0	70.9	127.2	1123	OK
  31	     0	68.6	124.8	1129	OK
  32	     0	70.6	127.6	1126	OK
  33	     0	70.5	127.5	1131	OK
  34	     0	70.0	127.9	1124	OK
  35	     0	69.9	128.1	1145	OK
  36	     0	70.5	128.9	1102	OK
  37	     0	71.1	127.9	1127	OK
  38	     0	70.6	123.6	1141	OK
  39	     0	70.1	125.8	1141	OK
  40	     0	71.6	127.8	1134	OK
  41	     0	71.0	129.3	1125	OK
  42	     0	68.6	124.9	1135	OK
  43	     0	68.8	125.5	1126	OK
  44	     0	67.9	123.6	1102	OK
  45	     0	68.8	125.4	1142	OK
  46	     0	68.0	123.7	1116	OK
  47	     0	67.9	121.8	1115	OK
  48	     0	68.8	124.6	1130	OK
  49	     0	70.2	125.4	1124	OK
  50	     0	71.5	131.1	1127	OK
  51	     0	71.2	130.1	1106	OK
  52	     0	71.4	130.4	1100	OK
  53	     0	70.0	129.5	1124	OK
  54	     0	73.0	129.7	1139	OK
  55	     0	70.9	130.0	1129	OK
  56	     0	68.5	124.7	1150	OK
  57	     0	69.7	127.5	1160	OK
  58	     0	69.4	124.7	1146	OK
  59	     0	71.2	127.1	1137	OK
  60	     0	67.7	122.7	1130	OK
  61	     0	71.5	129.9	1157	OK
  62	     0	71.4	130.5	1143	OK
  63	     0	72.2	130.9	1141	OK
  64	     0	68.7	123.8	1138	OK
  65	     0	69.2	127.6	1155	OK
  66	     0	70.3	129.4	1117	OK
  67	     0	70.8	131.4	1116	OK
  68	     0	69.5	126.2	1125	OK
  69	     0	68.1	123.4	1109	OK
  70	     0	69.6	126.0	1140	OK
  71	     0	67.8	123.8	1121	OK
  72	     0	68.2	124.2	1125	OK
  73	     0	68.4	120.4	1135	OK
  74	     0	68.3	127.0	1125	OK
  75	     0	68.6	125.9	1117	OK
  76	     0	68.5	123.1	1128	OK
  77	     0	68.0	124.7	1127	OK
  78	     0	68.6	123.5	1125	OK
  79	     0	67.4	122.4	1118	OK
  80	     0	68.0	125.0	1114	OK
  81	     0	66.1	121.7	1148	OK
  82	     0	70.5	126.8	1172	OK
  83	     0	69.2	126.9	1141	OK
  84	     0	67.5	123.3	1101	OK
  85	     0	69.1	125.5	1124	OK
  86	     0	68.2	124.7	1156	OK
  87	     0	67.6	124.5	1137	OK
  88	     0	67.2	120.5	1121	OK
  89	     0	66.3	124.8	1104	OK
  90	     0	67.6	122.1	1118	OK
  91	     0	66.0	123.1	1117	OK
  92	     0	69.3	125.3	1108	OK
  93	     0	67.7	124.7	1143	OK
  94	     0	66.3	119.7	1131	OK
  95	     0	68.5	126.0	1147	OK
  96	     0	67.1	124.4	1115	OK
  97	     0	68.6	125.4	1145	OK
  98	     0	67.7	123.9	1145	OK
  99	     0	70.5	127.9	1118	OK
 100	     0	68.1	124.9	1130	OK
 101	     0	68.5	125.7	1141	OK
 102	     0	66.6	120.1	1130	OK
 103	     0	67.7	121.9	1130	OK
 104	     0	67.5	122.7	1132	OK
 105	     0	67.6	123.0	1138	OK
 106	     0	69.5	123.6	1126	OK
 107	     0	70.5	127.2	1134	OK
 108	     0	67.4	119.4	1163	OK
 109	     0	69.6	126.6	1122	OK
 110	     0	67.4	122.2	1115	OK
 111	     0	69.5	125.5	1129	OK
 112	     0	66.8	120.4	1141	OK
 113	     0	67.6	121.8	1124	OK
 114	     0	68.3	123.9	1125	OK
 115	     0	69.7	128.9	1136	OK
 116	     0	69.5	126.1	1117	OK
 117	     0	66.7	120.5	1115	OK
 118	     0	67.8	125.5	1136	OK
 119	     0	70.2	125.5	1141	OK
 120	     0	67.2	123.3	1122	OK
 121	     0	68.4	122.0	1132	OK
 122	     0	68.3	123.7	1140	OK
 123	     0	67.5	122.4	1119	OK
 124	     0	69.0	126.5	1119	OK
 125	     0	68.7	121.8	1150	OK
 126	     0	69.3	122.7	1123	OK
 127	     0	71.7	124.9	1112	OK
 128	     0	77.6	138.3	1096	OK
 129	     0	77.5	137.6	1080	OK
 130	     0	79.1	143.5	1103	OK
 131	     0	79.0	141.0	1066	OK
 132	     0	74.9	135.1	1082	OK
 133	     0	76.0	132.3	1064	OK
 134	     0	72.0	130.9	1072	OK
 135	     0	76.9	139.4	1077	OK
 136	     0	76.2	135.3	1069	OK
 137	     0	74.0	134.6	1074	OK
 138	     0	77.6	138.3	1074	OK
 139	     0	76.4	136.9	1087	OK
 140	     0	74.4	133.1	1052	OK
 141	     0	73.7	133.9	1077	OK
 142	     0	76.6	136.1	1064	OK
 143	     0	75.7	137.9	1073	OK
 144	     0	75.9	138.4	1084	OK
 145	     0	75.1	136.7	1057	OK
 146	     0	74.6	134.5	1066	OK
 147	     0	74.1	135.0	1078	OK
 148	     0	75.5	136.1	1052	OK
 149	     0	76.8	138.2	1085	OK
 150	     0	76.6	137.6	1059	OK
 151	     0	74.7	136.2	1085	OK
 152	     0	74.2	131.9	1061	OK
 153	     0	75.1	134.6	1074	OK
 154	     0	75.2	137.7	1066	OK
 155	     0	74.9	134.3	1091	OK
 156	     0	76.2	137.2	1089	OK
 157	     0	73.9	132.8	1066	OK
 158	     0	72.5	135.5	1057	OK
 159	     0	75.3	135.6	1073	OK
 160	     0	74.3	132.7	1100	OK
 161	     0	74.6	134.1	1077	OK
 162	     0	73.6	132.2	1075	OK
 163	     0	74.6	136.0	1063	OK
 164	     0	75.2	134.9	1065	OK
 165	     0	73.8	133.2	1072	OK
 166	     0	74.8	133.9	1090	OK
 167	     0	70.8	130.8	1084	OK
 168	     0	73.6	134.5	1086	OK
 169	     0	76.1	137.2	1092	OK
 170	     0	74.9	134.7	1074	OK
 171	     0	75.0	134.3	1087	OK
 172	     0	74.0	133.4	1090	OK
 173	     0	75.8	136.2	1077	OK
 174	     0	73.7	132.9	1077	OK
 175	     0	74.3	133.9	1107	OK
 176	     0	75.3	135.1	1086	OK
 177	     0	74.8	135.2	1088	OK
 178	     0	76.4	135.8	1087	OK
 179	     0	76.8	140.4	1089	OK
 180	     0	74.9	136.8	1081	OK
 181	     0	73.1	132.5	1060	OK
 182	     0	75.7	139.2	1050	OK
 183	     0	75.3	135.3	1088	OK
 184	     0	76.6	134.6	1074	OK
 185	     0	75.5	136.0	1057	OK
 186	     0	75.8	138.2	1085	OK
 187	     0	75.0	134.5	1083	OK
 188	     0	74.4	137.5	1096	OK
 189	     0	75.3	134.6	1086	OK
 190	     0	77.0	138.0	1079	OK
 191	     0	76.3	133.3	1099	OK
 192	     0	74.3	134.8	1085	OK
 193	     0	73.4	133.1	1066	OK
 194	     0	74.4	134.3	1088	OK
 195	     0	74.3	137.5	1071	OK
 196	     0	74.1	134.5	1074	OK
 197	     0	74.0	133.8	1084	OK
 198	     0	73.9	135.0	1088	OK
 199	     0	73.8	133.6	1079	OK
 200	     0	75.0	135.3	1070	OK
 201	     0	73.4	133.5	1099	OK
 202	     0	75.2	135.0	1073	OK
 203	     0	73.4	131.2	1074	OK
 204	     0	73.9	133.9	1091	OK
 205	     0	73.7	134.3	1088	OK
 206	     0	74.1	131.3	1091	OK
 207	     0	74.2	134.9	1066	OK
 208	     0	73.5	131.8	1102	OK
 209	     0	73.5	133.3	1079	OK
 210	     0	75.2	135.0	1092	OK
 211	     0	74.0	135.5	1070	OK
 212	     0	72.7	130.9	1084	OK
 213	     0	73.4	135.2	1091	OK
 214	     0	74.9	134.3	1086	OK
 215	     0	73.7	133.0	1052	OK
 216	     0	72.7	131.1	1100	OK
 217	     0	75.1	136.3	1083	OK
 218	     0	74.3	135.5	1092	OK
 219	     0	75.4	136.3	1094	OK
 220	     0	73.5	132.8	1082	OK
 221	     0	73.2	133.4	1099	OK
 222	     0	75.5	137.9	1080	OK
 223	     0	74.1	132.1	1103	OK
 224	     0	73.8	134.9	1103	OK
 225	     0	73.4	133.8	1107	OK
 226	     0	73.4	131.6	1102	OK
 227	     0	74.6	134.9	1093	OK
 228	     0	72.1	129.6	1096	OK
 229	     0	73.1	131.0	1085	OK
 230	     0	74.5	134.6	1098	OK
 231	     0	75.2	136.1	1100	OK
 232	     0	72.7	132.0	1090	OK
 233	     0	72.6	127.8	1082	OK
 234	     0	75.5	135.0	1084	OK
 235	     0	73.6	131.5	1088	OK
 236	     0	73.4	131.7	1085	OK
 237	     0	73.5	130.5	1117	OK
 238	     0	75.8	136.6	1085	OK
 239	     0	70.9	130.4	1092	OK
 240	     0	73.3	132.3	1089	OK
 241	     0	72.6	132.3	1089	OK
 242	     0	73.3	130.2	1103	OK
 243	     0	71.7	131.3	1103	OK
 244	     0	72.2	128.9	1112	OK
 245	     0	72.9	130.8	1114	OK
 246	     0	74.9	135.5	1113	OK
 247	     0	73.7	132.8	1103	OK
 248	     0	73.0	133.1	1105	OK
 249	     0	74.1	133.9	1129	OK
 250	     0	73.7	133.5	1118	OK
 251	     0	74.0	133.4	1118	OK
 252	     0	74.1	134.3	1110	OK
 253	     0	74.1	133.1	1114	OK
 254	     0	74.4	134.9	1117	OK
 255	     0	72.8	130.5	1047	OK
 256	     0	72.8	135.0	1040	OK
 257	     0	73.7	134.2	1047	OK
 258	     0	74.3	136.2	1027	OK
