#chan	code	gain	vt50	innse	comment
   0	     0	76.5	141.9	 826	OK
   1	     0	72.9	137.3	 794	OK
   2	     0	75.9	141.9	 816	OK
   3	     0	74.5	139.3	 816	OK
   4	     0	75.7	141.0	 815	OK
   5	     0	72.9	137.5	 813	OK
   6	     0	76.9	144.3	 808	OK
   7	     0	75.7	142.0	 806	OK
   8	     0	75.6	143.2	 806	OK
   9	     0	75.3	142.7	 802	OK
  10	     0	76.5	145.0	 813	OK
  11	     0	77.4	145.1	 786	OK
  12	     0	73.1	137.9	 795	OK
  13	     0	73.9	139.0	 784	OK
  14	     0	77.1	146.4	 789	OK
  15	     0	75.9	140.6	 800	OK
  16	     0	77.6	146.1	 784	OK
  17	     0	74.5	138.6	 790	OK
  18	     0	76.1	142.0	 788	OK
  19	     0	74.8	139.8	 798	OK
  20	     0	75.0	141.5	 796	OK
  21	     0	75.4	141.7	 783	OK
  22	     0	75.6	143.1	 787	OK
  23	     0	73.8	138.0	 808	OK
  24	     0	76.2	143.3	 784	OK
  25	     0	76.2	143.7	 796	OK
  26	     0	76.3	144.1	 804	OK
  27	     0	76.4	143.5	 816	OK
  28	     0	74.5	140.7	 803	OK
  29	     0	75.6	142.2	 803	OK
  30	     0	75.3	140.0	 799	OK
  31	     0	75.7	141.8	 794	OK
  32	     0	75.0	143.4	 802	OK
  33	     0	75.7	143.0	 795	OK
  34	     0	74.9	142.7	 816	OK
  35	     0	75.9	141.4	 800	OK
  36	     0	76.3	144.4	 813	OK
  37	     0	78.2	147.4	 793	OK
  38	     0	74.4	140.3	 797	OK
  39	     0	74.9	143.6	 795	OK
  40	     0	76.9	142.2	 786	OK
  41	     0	75.8	141.2	 805	OK
  42	     0	76.6	143.9	 790	OK
  43	     0	76.3	144.8	 773	OK
  44	     0	76.5	141.4	 762	OK
  45	     0	74.6	139.6	 794	OK
  46	     0	78.2	147.0	 769	OK
  47	     0	74.8	139.1	 798	OK
  48	     0	75.6	141.0	 778	OK
  49	     0	76.2	142.2	 778	OK
  50	     0	73.1	139.8	 775	OK
  51	     0	77.2	144.9	 755	OK
  52	     0	74.4	140.6	 778	OK
  53	     0	75.6	144.4	 779	OK
  54	     0	75.7	140.9	 758	OK
  55	     0	74.2	141.4	 757	OK
  56	     0	74.1	140.0	 785	OK
  57	     0	76.4	142.8	 768	OK
  58	     0	76.9	143.9	 744	OK
  59	     0	78.7	148.3	 772	OK
  60	     0	73.3	138.6	 761	OK
  61	     0	75.6	143.5	 747	OK
  62	     0	75.2	142.1	 771	OK
  63	     0	76.6	144.5	 768	OK
  64	     0	76.3	144.5	 754	OK
  65	     0	75.6	140.6	 762	OK
  66	     0	75.3	141.7	 767	OK
  67	     0	77.4	145.2	 767	OK
  68	     0	75.0	141.6	 764	OK
  69	     0	75.5	142.3	 770	OK
  70	     0	77.5	145.9	 762	OK
  71	     0	74.9	141.1	 791	OK
  72	     0	74.4	140.3	 780	OK
  73	     0	74.5	139.8	 783	OK
  74	     0	75.8	142.8	 770	OK
  75	     0	73.5	138.5	 791	OK
  76	     0	73.9	140.1	 781	OK
  77	     0	76.2	143.4	 770	OK
  78	     0	78.8	146.0	 783	OK
  79	     0	75.2	141.0	 790	OK
  80	     0	76.2	143.3	 789	OK
  81	     0	74.8	144.0	 765	OK
  82	     0	76.1	141.9	 759	OK
  83	     0	76.6	144.4	 781	OK
  84	     0	73.9	138.9	 767	OK
  85	     0	76.5	145.4	 765	OK
  86	     0	75.1	140.2	 785	OK
  87	     0	74.1	139.6	 778	OK
  88	     0	76.6	143.2	 774	OK
  89	     0	75.6	142.2	 783	OK
  90	     0	76.8	143.3	 778	OK
  91	     0	77.8	146.8	 769	OK
  92	     0	74.0	140.4	 769	OK
  93	     0	74.5	142.0	 783	OK
  94	     0	77.0	144.0	 768	OK
  95	     0	76.8	145.3	 778	OK
  96	     0	77.6	144.1	 775	OK
  97	     0	74.3	140.3	 778	OK
  98	     0	77.0	144.0	 778	OK
  99	     0	76.0	143.4	 769	OK
 100	     0	76.8	146.0	 758	OK
 101	     0	73.6	140.2	 774	OK
 102	     0	76.5	145.8	 767	OK
 103	     0	76.0	142.6	 778	OK
 104	     0	75.7	143.5	 782	OK
 105	     0	76.5	143.6	 784	OK
 106	     0	78.7	147.6	 772	OK
 107	     0	77.0	143.7	 798	OK
 108	     0	77.1	146.2	 769	OK
 109	     0	77.4	144.6	 774	OK
 110	     0	77.1	143.5	 792	OK
 111	     0	77.0	145.0	 769	OK
 112	     0	76.6	146.7	 784	OK
 113	     0	74.1	138.9	 787	OK
 114	     0	75.7	141.9	 795	OK
 115	     0	76.6	143.0	 791	OK
 116	     0	76.6	142.7	 790	OK
 117	     0	74.7	142.0	 790	OK
 118	     0	80.0	150.8	 769	OK
 119	     0	79.7	148.2	 790	OK
 120	     0	76.1	143.7	 787	OK
 121	     0	75.6	140.5	 787	OK
 122	     0	76.5	142.2	 791	OK
 123	     0	77.6	146.7	 790	OK
 124	     0	76.7	144.2	 778	OK
 125	     0	77.3	143.9	 791	OK
 126	     0	77.3	146.9	 777	OK
 127	     0	76.8	146.0	 780	OK
 128	     0	78.7	147.3	 752	OK
 129	     0	77.9	147.8	 759	OK
 130	     0	78.6	147.4	 756	OK
 131	     0	76.7	144.2	 729	OK
 132	     0	78.9	149.6	 753	OK
 133	     0	79.7	148.8	 747	OK
 134	     0	79.0	148.2	 733	OK
 135	     0	76.0	144.3	 746	OK
 136	     0	79.2	146.0	 750	OK
 137	     0	76.2	144.2	 772	OK
 138	     0	77.9	145.7	 745	OK
 139	     0	78.7	148.7	 741	OK
 140	     0	78.6	147.7	 749	OK
 141	     0	78.7	146.3	 762	OK
 142	     0	80.1	148.7	 751	OK
 143	     0	78.4	149.8	 746	OK
 144	     0	78.0	145.5	 745	OK
 145	     0	75.8	142.9	 745	OK
 146	     0	76.1	144.0	 744	OK
 147	     0	76.6	144.1	 738	OK
 148	     0	78.6	148.3	 739	OK
 149	     0	79.9	148.9	 731	OK
 150	     0	76.6	145.9	 745	OK
 151	     0	78.2	146.1	 742	OK
 152	     0	79.2	147.3	 739	OK
 153	     0	79.7	150.2	 736	OK
 154	     0	77.6	144.6	 763	OK
 155	     0	77.2	147.2	 747	OK
 156	     0	77.5	146.4	 753	OK
 157	     0	78.6	147.5	 740	OK
 158	     0	74.9	141.4	 743	OK
 159	     0	79.3	149.8	 727	OK
 160	     0	79.5	147.4	 737	OK
 161	     0	79.2	148.9	 750	OK
 162	     0	78.0	147.2	 736	OK
 163	     0	79.9	149.5	 731	OK
 164	     0	75.2	142.8	 731	OK
 165	     0	78.4	148.0	 749	OK
 166	     0	76.8	144.5	 748	OK
 167	     0	79.3	146.2	 730	OK
 168	     0	76.9	143.2	 739	OK
 169	     0	79.4	146.9	 740	OK
 170	     0	76.9	144.6	 722	OK
 171	     0	77.1	145.2	 712	OK
 172	     0	80.1	150.7	 738	OK
 173	     0	79.9	149.7	 728	OK
 174	     0	77.4	146.8	 725	OK
 175	     0	77.8	146.3	 711	OK
 176	     0	76.8	145.4	 741	OK
 177	     0	77.8	144.2	 700	OK
 178	     0	78.3	148.4	 734	OK
 179	     0	76.9	146.0	 711	OK
 180	     0	77.4	144.7	 753	OK
 181	     0	78.7	147.0	 749	OK
 182	     0	75.7	144.6	 733	OK
 183	     0	77.8	148.1	 714	OK
 184	     0	76.2	144.3	 741	OK
 185	     0	79.0	148.2	 738	OK
 186	     0	78.7	150.5	 718	OK
 187	     0	77.7	145.9	 721	OK
 188	     0	77.2	145.2	 721	OK
 189	     0	79.3	150.2	 707	OK
 190	     0	77.9	146.7	 731	OK
 191	     0	78.9	150.7	 722	OK
 192	     0	77.3	146.4	 733	OK
 193	     0	79.3	148.6	 745	OK
 194	     0	76.8	147.0	 717	OK
 195	     0	76.6	145.3	 737	OK
 196	     0	78.5	147.4	 719	OK
 197	     0	75.3	141.7	 735	OK
 198	     0	75.9	144.2	 741	OK
 199	     0	76.0	145.1	 736	OK
 200	     0	76.2	145.5	 728	OK
 201	     0	77.9	145.9	 729	OK
 202	     0	77.4	144.6	 727	OK
 203	     0	76.3	142.2	 731	OK
 204	     0	78.4	146.9	 718	OK
 205	     0	78.7	149.8	 742	OK
 206	     0	76.1	144.8	 745	OK
 207	     0	78.1	148.1	 719	OK
 208	     0	78.8	148.5	 727	OK
 209	     0	76.8	143.1	 729	OK
 210	     0	76.8	144.6	 716	OK
 211	     0	78.3	146.3	 728	OK
 212	     0	77.3	144.0	 721	OK
 213	     0	76.0	144.5	 743	OK
 214	     0	77.9	147.1	 755	OK
 215	     0	75.9	142.4	 740	OK
 216	     0	75.0	141.7	 731	OK
 217	     0	75.0	143.0	 749	OK
 218	     0	77.2	145.6	 729	OK
 219	     0	75.9	141.7	 722	OK
 220	     0	74.6	140.6	 740	OK
 221	     0	76.0	142.5	 752	OK
 222	     0	77.9	147.2	 742	OK
 223	     0	77.6	147.2	 745	OK
 224	     0	77.0	145.4	 745	OK
 225	     0	75.0	140.9	 727	OK
 226	     0	77.0	144.9	 732	OK
 227	     0	77.9	145.0	 731	OK
 228	     0	76.1	143.4	 753	OK
 229	     0	76.4	144.3	 735	OK
 230	     0	78.9	146.5	 734	OK
 231	     0	79.6	150.0	 759	OK
 232	     0	76.5	144.2	 721	OK
 233	     0	77.7	147.3	 727	OK
 234	     0	77.0	146.1	 719	OK
 235	     0	75.9	143.8	 727	OK
 236	     0	78.6	146.9	 747	OK
 237	     0	75.5	142.7	 731	OK
 238	     0	76.1	142.8	 740	OK
 239	     0	74.9	142.9	 744	OK
